,Year,Month,Day,avgtempC,windspeedKmph,humidity,visibilityKm,pressureInches,cloudcover,HeatIndexC,weatherDesc,totalprecipMM
60,2008,8,30,24,4,90,8,30,64,26,4,27.9
61,2008,8,31,24,3,88,9,30,52,26,6,26.6
62,2008,9,1,24,6,91,7,30,69,27,4,39.7
63,2008,9,2,23,7,93,7,30,71,25,4,184.8
64,2008,9,3,22,6,95,7,30,76,25,14,107.8
65,2008,9,4,24,5,92,7,30,65,26,4,93.2
66,2008,9,5,23,7,94,6,30,69,26,4,53.8
67,2008,9,6,23,6,91,7,30,45,25,4,55
68,2008,9,7,22,8,96,7,30,66,24,15,36.4
69,2008,9,8,21,11,94,7,30,70,21,5,5.5
70,2008,9,9,21,12,92,9,30,77,22,5,3.6
71,2008,9,10,22,13,89,8,30,75,23,7,1.4
72,2008,9,11,22,16,84,10,30,55,23,1,0.1
73,2008,9,12,21,16,82,10,30,54,22,1,0
74,2008,9,13,22,14,83,10,30,56,23,1,0.7
75,2008,9,14,22,12,85,7,30,63,23,1,7.8
76,2008,9,15,22,14,80,10,30,28,23,12,0.2
77,2008,9,16,21,15,82,10,30,60,22,12,0.1
78,2008,9,17,21,15,83,10,30,53,22,1,0
79,2008,9,18,22,13,81,10,30,49,23,1,0
80,2008,9,19,22,12,87,9,30,53,23,1,7.9
81,2008,9,20,22,9,88,8,30,64,24,6,7
82,2008,9,21,22,8,85,8,30,51,23,1,6.6
83,2008,9,22,22,10,80,8,30,28,23,12,0
84,2008,9,23,23,7,84,8,30,46,24,6,4.9
85,2008,9,24,21,9,92,7,30,79,23,4,12.9
86,2008,9,25,23,9,81,7,30,36,24,12,6.5
87,2008,9,26,23,9,78,8,30,25,25,12,0
88,2008,9,27,23,6,76,9,30,36,25,1,0.3
89,2008,9,28,23,6,73,9,30,29,25,12,0.3
90,2008,9,29,24,4,76,9,30,44,26,3,5
91,2008,9,30,23,5,78,9,30,30,25,3,4.1
92,2008,10,1,23,5,79,9,30,33,24,3,1.82
93,2008,10,2,23,4,82,8,30,29,25,3,8.87
94,2008,10,3,24,5,82,7,30,41,25,3,7.56
95,2008,10,4,23,4,92,6,30,68,25,4,20.53
96,2008,10,5,21,5,91,7,30,60,22,1,23.77
97,2008,10,6,23,5,87,6,30,50,25,4,9.93
98,2008,10,7,23,4,89,7,30,57,25,3,15.36
99,2008,10,8,23,4,90,7,30,61,25,4,14.79
100,2008,10,9,23,4,89,7,30,48,25,4,16
101,2008,10,10,23,7,90,7,30,48,24,4,14.54
102,2008,10,11,22,8,91,7,30,52,23,4,15.24
103,2008,10,12,22,10,88,5,30,56,23,4,6.33
104,2008,10,13,22,9,90,5,30,75,23,4,6.86
105,2008,10,14,22,11,92,5,30,81,23,4,6.6
106,2008,10,15,22,12,92,6,30,86,23,6,3.97
107,2008,10,16,22,8,93,4,30,81,23,13,17.79
108,2008,10,17,22,8,95,5,30,87,23,13,36.19
109,2008,10,18,22,9,93,6,30,78,24,4,12.92
110,2008,10,19,22,10,93,6,30,75,24,13,26.47
111,2008,10,20,22,8,93,5,30,87,25,4,11.1
112,2008,10,21,22,8,96,4,30,95,23,13,42.56
113,2008,10,22,22,8,95,5,30,89,23,13,20.67
114,2008,10,23,22,5,97,7,30,88,23,15,19.99
115,2008,10,24,21,5,99,6,30,100,22,14,87.52
116,2008,10,25,22,4,94,6,30,83,24,4,35.55
117,2008,10,26,21,7,83,8,30,38,23,12,7.61
118,2008,10,27,21,6,69,10,30,3,22,12,0
119,2008,10,28,22,5,70,10,30,6,22,12,0
120,2008,10,29,22,4,74,10,30,9,23,12,0
121,2008,10,30,22,6,74,10,30,13,23,12,0
122,2008,10,31,22,6,66,10,30,4,23,12,0
123,2008,11,1,21,7,67,10,30,4,22,12,0
124,2008,11,2,21,7,69,10,30,3,22,12,0
125,2008,11,3,21,7,68,10,30,4,22,12,0
126,2008,11,4,21,6,66,10,30,4,22,12,0
127,2008,11,5,21,7,68,10,30,4,22,12,0
128,2008,11,6,21,8,75,9,30,19,21,12,0
129,2008,11,7,21,6,76,8,30,12,22,12,0
130,2008,11,8,22,6,75,8,30,21,23,12,0
131,2008,11,9,22,7,70,10,30,6,22,12,0
132,2008,11,10,21,7,89,7,30,60,22,6,5.4
133,2008,11,11,22,8,81,6,30,43,22,12,0.2
134,2008,11,12,21,9,74,9,30,20,22,12,0
135,2008,11,13,21,5,73,8,30,25,21,12,0
136,2008,11,14,21,7,68,10,30,11,22,12,0
137,2008,11,15,21,7,62,10,30,32,22,12,1.5
138,2008,11,16,21,6,88,10,30,50,22,1,5.4
139,2008,11,17,22,11,82,8,30,42,23,12,2.1
140,2008,11,18,22,10,85,8,30,55,24,1,6.7
141,2008,11,19,22,10,90,6,30,59,23,3,6.9
142,2008,11,20,22,9,88,5,30,68,23,6,5.4
143,2008,11,21,22,10,81,7,30,41,23,12,0
144,2008,11,22,21,11,92,10,30,87,21,6,6.4
145,2008,11,23,20,9,96,8,30,89,20,8,25.8
146,2008,11,24,21,12,88,8,30,51,22,1,0.6
147,2008,11,25,21,12,84,8,30,44,21,1,0.3
148,2008,11,26,19,17,92,8,30,75,19,8,4.4
149,2008,11,27,18,17,95,7,30,97,18,14,38.3
150,2008,11,28,20,10,96,7,30,98,20,10,19.9
151,2008,11,29,21,12,91,5,30,77,22,3,16.2
152,2008,11,30,20,9,95,8,30,87,21,6,9
153,2008,12,1,21,7,89,7,30,63,22,6,5
154,2008,12,2,21,7,91,6,30,74,21,6,2.1
155,2008,12,3,21,7,80,7,30,33,22,12,0
156,2008,12,4,20,8,76,7,30,18,21,12,0
157,2008,12,5,20,10,80,8,30,23,21,12,0
158,2008,12,6,20,9,79,8,30,19,21,12,0
159,2008,12,7,21,8,77,9,30,40,21,12,0
160,2008,12,8,21,9,86,7,30,46,21,1,0.6
161,2008,12,9,21,9,89,7,30,75,22,2,8.8
162,2008,12,10,22,9,81,7,30,39,23,12,0.1
163,2008,12,11,21,8,76,7,30,31,22,12,0
164,2008,12,12,21,8,76,6,30,42,22,12,0
165,2008,12,13,21,10,82,8,30,49,21,12,1.9
166,2008,12,14,21,11,80,7,30,36,21,12,0
167,2008,12,15,20,10,84,8,30,57,20,1,2.1
168,2008,12,16,20,10,83,5,30,55,21,12,0.3
169,2008,12,17,20,12,80,8,30,37,21,12,0
170,2008,12,18,20,13,80,8,30,23,20,12,0
171,2008,12,19,21,10,81,7,30,44,21,12,0
172,2008,12,20,21,7,76,8,30,28,21,12,0
173,2008,12,21,21,9,70,8,30,27,21,12,0
174,2008,12,22,21,10,69,9,30,4,21,12,0
175,2008,12,23,21,10,67,10,30,4,21,12,0
176,2008,12,24,21,10,77,8,30,29,21,12,0.9
177,2008,12,25,21,11,73,8,30,18,21,12,0
178,2008,12,26,22,7,69,8,30,22,22,12,0
179,2008,12,27,22,7,66,9,30,6,22,12,0
180,2008,12,28,21,8,61,8,30,19,22,12,0
181,2008,12,29,21,8,55,10,30,1,21,12,0
182,2008,12,30,20,8,66,10,30,5,20,12,0
183,2008,12,31,20,7,69,8,30,30,20,12,0
184,2009,1,1,21,7,66,9,30,3,21,12,0
185,2009,1,2,21,8,70,8,30,44,21,12,0.1
186,2009,1,3,21,8,71,8,30,44,22,1,0
187,2009,1,4,21,8,67,10,30,32,22,12,0
188,2009,1,5,22,8,66,9,30,23,22,12,0
189,2009,1,6,21,7,59,10,30,5,21,12,0
190,2009,1,7,20,8,79,9,30,60,20,2,0.6
191,2009,1,8,20,11,85,8,30,61,21,16,6.1
192,2009,1,9,22,12,70,10,30,31,22,12,0
193,2009,1,10,21,14,66,10,30,29,21,1,0
194,2009,1,11,21,11,69,10,30,21,22,1,0
195,2009,1,12,21,12,61,10,31,4,21,12,0
196,2009,1,13,20,15,65,10,31,10,20,12,0
197,2009,1,14,20,13,70,8,31,35,20,1,0
198,2009,1,15,20,14,68,10,31,14,20,12,0
199,2009,1,16,21,11,66,8,31,13,21,12,0
200,2009,1,17,20,11,66,8,30,12,21,12,0
201,2009,1,18,21,9,60,10,30,10,21,12,0
202,2009,1,19,22,10,56,9,30,3,21,12,0
203,2009,1,20,21,11,57,10,30,5,21,12,0
204,2009,1,21,22,9,54,9,30,3,22,12,0
205,2009,1,22,22,9,57,10,30,2,22,12,0
206,2009,1,23,23,8,52,10,30,0,23,12,0
207,2009,1,24,23,10,50,10,30,1,23,12,0
208,2009,1,25,23,9,52,9,30,3,23,12,0
209,2009,1,26,22,10,59,9,30,8,22,12,0
210,2009,1,27,24,7,65,9,30,30,24,12,0
211,2009,1,28,25,8,61,10,30,28,26,12,0.7
212,2009,1,29,25,9,56,9,30,18,24,12,0
213,2009,1,30,23,11,43,10,30,4,23,12,0
214,2009,1,31,23,11,43,10,30,3,23,12,0
215,2009,2,1,24,10,45,10,30,2,24,12,0
216,2009,2,2,24,9,48,10,30,3,24,12,0
217,2009,2,3,24,10,51,10,30,6,24,12,0
218,2009,2,4,24,9,52,10,30,9,24,12,0
219,2009,2,5,24,9,51,10,30,8,24,12,0
220,2009,2,6,24,9,47,10,30,5,24,12,0
221,2009,2,7,23,12,53,10,30,5,24,12,0
222,2009,2,8,23,11,54,10,30,5,23,12,0
223,2009,2,9,23,14,52,10,30,4,23,12,0
224,2009,2,10,23,9,47,10,30,5,23,12,0
225,2009,2,11,24,7,38,10,30,4,24,12,0
226,2009,2,12,25,5,40,10,30,10,25,12,0
227,2009,2,13,26,6,39,10,30,6,26,12,0
228,2009,2,14,26,6,36,10,30,6,25,12,0
229,2009,2,15,25,10,39,10,30,6,24,12,0
230,2009,2,16,24,13,40,10,30,2,24,12,0
231,2009,2,17,23,14,46,10,30,1,23,12,0
232,2009,2,18,23,11,47,10,30,4,23,12,0
233,2009,2,19,24,13,43,10,30,0,24,12,0
234,2009,2,20,24,13,48,10,30,8,24,12,0
235,2009,2,21,25,10,58,10,30,18,25,12,0
236,2009,2,22,26,13,53,10,30,11,26,12,0
237,2009,2,23,27,11,47,10,30,6,27,12,0
238,2009,2,24,28,7,46,10,30,4,28,12,0
239,2009,2,25,29,6,39,10,30,4,29,12,0
240,2009,2,26,29,8,37,10,30,6,29,12,0
241,2009,2,27,27,10,35,10,30,2,27,12,0
242,2009,2,28,28,7,25,10,30,0,27,12,0
243,2009,3,1,29,8,25,10,30,0,28,12,0
244,2009,3,2,28,10,32,10,30,2,28,12,0
245,2009,3,3,28,9,37,10,30,1,27,12,0
246,2009,3,4,29,7,32,10,30,2,28,12,0
247,2009,3,5,28,9,29,10,30,2,28,12,0
248,2009,3,6,29,6,27,10,30,0,28,12,0
249,2009,3,7,28,9,26,10,30,3,27,12,0
250,2009,3,8,27,13,29,10,30,1,26,12,0
251,2009,3,9,25,13,30,10,30,42,25,2,0
252,2009,3,10,22,13,69,9,30,46,24,1,2.1
253,2009,3,11,23,8,78,8,30,68,24,7,21
254,2009,3,12,22,5,89,9,30,50,25,4,21.5
255,2009,3,13,25,9,61,10,30,17,26,12,0
256,2009,3,14,25,10,60,10,30,25,26,12,1.5
257,2009,3,15,24,4,64,10,30,36,25,6,2
258,2009,3,16,25,8,53,10,30,18,26,12,2.5
259,2009,3,17,26,8,45,10,30,8,26,12,0
260,2009,3,18,27,8,39,10,30,7,27,12,0
261,2009,3,19,26,10,41,10,30,3,26,12,0
262,2009,3,20,28,7,35,10,30,2,28,12,0
263,2009,3,21,27,5,44,10,30,16,27,12,0.1
264,2009,3,22,27,6,46,10,30,32,27,1,1.6
265,2009,3,23,26,4,51,9,30,37,27,1,4.7
266,2009,3,24,25,4,61,10,30,43,27,12,8.2
267,2009,3,25,25,5,58,10,30,26,25,1,2.7
268,2009,3,26,25,5,54,10,30,23,26,12,0.1
269,2009,3,27,28,4,50,10,30,19,28,12,1
270,2009,3,28,28,6,49,10,30,20,28,12,1
271,2009,3,29,27,9,43,10,30,7,27,12,0
272,2009,3,30,28,8,41,10,30,4,28,12,0
273,2009,3,31,28,10,37,10,30,2,28,12,0
274,2009,4,1,29,7,34,10,30,3,29,12,0
275,2009,4,2,28,10,36,10,30,4,28,12,0
276,2009,4,3,28,10,34,10,30,2,28,12,0
277,2009,4,4,29,11,34,10,30,1,28,12,0
278,2009,4,5,29,8,37,10,30,2,29,12,0
279,2009,4,6,30,7,40,10,30,6,30,12,0
280,2009,4,7,30,11,37,10,30,3,30,12,0
281,2009,4,8,30,9,38,10,30,5,30,12,0
282,2009,4,9,28,11,48,10,30,24,29,12,2.9
283,2009,4,10,27,11,54,10,30,21,27,1,0.2
284,2009,4,11,27,7,43,10,30,41,27,1,0
285,2009,4,12,29,6,37,10,30,21,28,12,0
286,2009,4,13,30,7,41,10,30,10,30,12,0.5
287,2009,4,14,30,7,46,10,30,11,30,12,0.6
288,2009,4,15,29,6,46,10,30,15,29,12,0
289,2009,4,16,30,5,43,10,30,12,30,12,0.2
290,2009,4,17,29,5,48,9,30,21,30,12,5
291,2009,4,18,31,6,45,10,30,12,32,12,0
292,2009,4,19,30,6,47,10,30,21,31,12,3.4
293,2009,4,20,27,7,67,10,30,28,29,1,5.9
294,2009,4,21,27,7,62,9,30,23,28,12,6.1
295,2009,4,22,26,8,67,10,30,18,28,12,0.3
296,2009,4,23,29,6,52,10,30,10,29,12,0.5
297,2009,4,24,29,6,50,10,30,11,30,12,0.6
298,2009,4,25,26,7,62,9,30,27,28,12,8.9
299,2009,4,26,27,5,56,9,30,34,28,1,1
300,2009,4,27,30,5,45,10,30,12,31,12,1.4
301,2009,4,28,30,6,43,10,30,16,30,12,0.1
302,2009,4,29,32,4,36,10,30,4,32,12,0
303,2009,4,30,32,5,42,10,30,7,32,12,0
304,2009,5,1,30,7,48,10,30,14,31,12,0.7
305,2009,5,2,31,5,43,10,30,8,32,12,0
306,2009,5,3,31,6,44,10,30,10,32,12,0
307,2009,5,4,28,8,62,9,30,32,29,17,23.7
308,2009,5,5,28,9,59,9,30,34,29,1,0.82
309,2009,5,6,28,7,56,10,30,24,29,3,0.6
310,2009,5,7,30,5,49,10,30,14,31,12,0.1
311,2009,5,8,30,7,47,10,30,17,31,12,2.7
312,2009,5,9,28,8,61,9,30,27,29,12,4.1
313,2009,5,10,28,11,58,10,30,11,29,12,0.5
314,2009,5,11,29,10,49,10,30,5,30,12,0
315,2009,5,12,29,9,49,10,30,4,30,12,0
316,2009,5,13,30,12,40,10,30,5,30,12,0
317,2009,5,14,25,14,55,10,30,11,26,12,1.3
318,2009,5,15,28,9,52,9,30,28,28,3,6.5
319,2009,5,16,27,8,57,9,30,40,28,1,8.5
320,2009,5,17,28,8,62,10,30,28,29,12,1.2
321,2009,5,18,27,6,61,9,30,37,29,12,3.2
322,2009,5,19,27,8,66,8,30,52,29,6,18.6
323,2009,5,20,26,8,74,9,30,41,28,4,17.3
324,2009,5,21,26,9,72,9,30,40,29,6,9.2
325,2009,5,22,24,13,77,9,30,33,26,1,16.2
326,2009,5,23,23,13,81,9,30,34,25,3,1.4
327,2009,5,24,24,15,76,10,30,21,26,12,3.9
328,2009,5,25,26,15,68,10,30,21,27,12,1.8
329,2009,5,26,25,11,70,10,30,30,26,12,1
330,2009,5,27,26,11,62,10,30,29,27,12,3.5
331,2009,5,28,27,9,64,9,30,38,28,12,11.7
332,2009,5,29,26,10,71,9,30,44,28,1,6.5
333,2009,5,30,26,9,69,9,30,36,28,1,5.3
334,2009,5,31,25,10,73,10,30,30,27,1,1.1
335,2009,6,1,25,10,72,9,30,53,26,12,10.8
336,2009,6,2,25,13,69,10,30,22,27,12,3.3
337,2009,6,3,26,15,65,10,30,23,27,12,1.2
338,2009,6,4,25,18,68,10,30,25,27,3,1.7
339,2009,6,5,25,21,69,9,30,47,26,1,1
340,2009,6,6,24,22,68,10,30,54,26,1,0.3
341,2009,6,7,24,20,66,10,30,45,25,1,0.3
342,2009,6,8,23,16,78,8,30,72,24,2,16.7
343,2009,6,9,25,14,74,8,30,45,26,1,21.2
344,2009,6,10,25,11,73,9,30,32,27,12,4.4
345,2009,6,11,25,13,74,8,30,36,27,3,28.4
346,2009,6,12,23,7,82,8,30,33,24,12,12.2
347,2009,6,13,22,7,87,9,30,54,24,5,9.2
348,2009,6,14,22,11,88,7,30,67,24,6,62.7
349,2009,6,15,22,10,91,8,30,73,24,6,25.4
350,2009,6,16,22,10,90,9,30,58,23,5,11.3
351,2009,6,17,24,9,79,8,30,46,26,1,9
352,2009,6,18,24,10,85,8,30,57,26,1,18.7
353,2009,6,19,23,12,84,9,30,45,25,1,0.6
354,2009,6,20,22,9,90,7,30,61,24,8,11.3
355,2009,6,21,24,14,75,10,30,32,25,1,0.4
356,2009,6,22,24,16,74,10,30,43,25,3,4.8
357,2009,6,23,24,18,69,10,30,31,25,12,0
358,2009,6,24,24,16,71,10,30,45,25,1,1
359,2009,6,25,24,16,73,10,30,49,25,3,3.2
360,2009,6,26,23,18,70,10,30,54,25,2,0.1
361,2009,6,27,24,16,67,10,30,47,25,1,0.8
362,2009,6,28,24,15,71,9,30,36,25,1,12
363,2009,6,29,24,12,76,10,30,43,25,1,6
364,2009,6,30,24,14,74,10,30,45,26,1,5.9
365,2009,7,1,24,17,74,10,30,47,25,6,1.9
366,2009,7,2,24,19,74,10,30,63,25,2,1.8
367,2009,7,3,24,20,71,10,30,65,26,1,0.8
368,2009,7,4,23,19,77,7,30,92,25,2,1.1
369,2009,7,5,23,17,76,8,30,81,25,6,3.3
370,2009,7,6,24,19,70,9,30,68,26,1,0.5
371,2009,7,7,23,18,76,9,30,69,25,2,2.9
372,2009,7,8,23,22,72,8,30,71,25,1,0.9
373,2009,7,9,22,20,74,8,30,80,24,2,2.3
374,2009,7,10,23,17,70,9,30,63,25,1,0.6
375,2009,7,11,24,18,68,8,30,59,25,1,0.6
376,2009,7,12,24,20,69,10,30,62,26,1,0
377,2009,7,13,24,22,69,8,30,61,26,1,0.9
378,2009,7,14,22,24,76,6,30,87,24,10,6
379,2009,7,15,23,25,76,9,30,78,25,6,3.1
380,2009,7,16,24,23,73,9,30,75,26,6,2.3
381,2009,7,17,23,19,75,10,30,77,25,6,1.9
382,2009,7,18,24,19,71,8,30,71,25,1,0.5
383,2009,7,19,23,18,76,8,30,86,24,2,2.3
384,2009,7,20,23,20,72,10,30,75,25,1,0.2
385,2009,7,21,23,23,70,10,30,66,26,1,0.1
386,2009,7,22,23,21,71,8,30,74,25,2,0.9
387,2009,7,23,24,20,67,10,30,56,26,1,0
388,2009,7,24,25,18,64,10,30,43,26,1,0
389,2009,7,25,24,16,67,10,30,46,25,1,0.1
390,2009,7,26,24,16,65,10,30,54,26,12,0.3
391,2009,7,27,24,18,65,10,30,55,26,1,0
392,2009,7,28,24,19,67,10,30,63,26,2,2.7
393,2009,7,29,24,15,74,9,30,71,26,1,10.8
394,2009,7,30,24,15,79,10,30,73,26,6,10.4
395,2009,7,31,23,13,83,9,30,83,25,4,15.2
396,2009,8,1,23,14,81,10,30,70,24,2,7.1
397,2009,8,2,23,15,79,8,30,67,24,1,3.3
398,2009,8,3,23,14,76,10,30,65,25,2,3.4
399,2009,8,4,23,16,75,9,30,59,24,3,5.3
400,2009,8,5,23,15,74,9,30,57,25,1,0.8
401,2009,8,6,24,14,71,10,30,54,25,1,0.3
402,2009,8,7,25,15,65,10,30,40,26,12,0
403,2009,8,8,24,15,72,10,30,50,25,1,0.6
404,2009,8,9,24,14,72,10,30,47,25,3,2
405,2009,8,10,24,15,72,10,30,39,25,1,2.7
406,2009,8,11,24,14,69,10,30,41,26,1,0
407,2009,8,12,25,11,67,10,30,42,26,1,3.6
408,2009,8,13,25,13,68,10,30,28,27,1,0.6
409,2009,8,14,25,11,73,9,30,30,27,1,14.2
410,2009,8,15,23,10,79,9,30,32,24,3,2.5
411,2009,8,16,24,9,75,9,30,42,26,12,15.3
412,2009,8,17,21,8,94,7,30,89,21,14,28.6
413,2009,8,18,24,7,80,7,30,53,25,3,1.2
414,2009,8,19,24,8,83,8,30,62,26,2,11.4
415,2009,8,20,24,7,82,7,30,38,26,3,10.5
416,2009,8,21,24,5,86,7,30,78,26,6,53.4
417,2009,8,22,22,10,91,8,30,62,23,6,60.6
418,2009,8,23,22,10,87,7,30,62,24,6,10.5
419,2009,8,24,22,14,89,6,30,75,23,6,2.9
420,2009,8,25,22,17,82,9,30,65,23,1,0.4
421,2009,8,26,22,16,79,10,30,55,23,1,4.3
422,2009,8,27,23,15,75,10,30,54,24,12,0
423,2009,8,28,23,14,72,10,30,41,24,12,0
424,2009,8,29,23,14,76,10,30,54,24,1,0.8
425,2009,8,30,23,11,81,8,30,53,24,1,10
426,2009,8,31,23,11,82,10,30,63,24,1,2.9
427,2009,9,1,22,12,87,8,30,69,24,7,6.3
428,2009,9,2,21,13,89,7,30,71,22,7,3.5
429,2009,9,3,22,15,83,10,30,88,23,7,0.2
430,2009,9,4,22,18,81,8,30,84,24,7,1.2
431,2009,9,5,22,19,87,5,30,88,23,10,24.5
432,2009,9,6,22,18,82,8,30,69,23,1,0.5
433,2009,9,7,23,16,78,9,30,54,24,3,0.9
434,2009,9,8,23,15,74,10,30,31,24,12,0
435,2009,9,9,24,13,71,10,30,21,25,12,0
436,2009,9,10,24,12,68,10,30,27,26,12,0
437,2009,9,11,25,7,71,10,30,42,27,1,0.6
438,2009,9,12,23,6,86,9,30,56,26,5,19.5
439,2009,9,13,24,5,88,8,30,60,27,4,35.5
440,2009,9,14,22,7,93,6,30,71,25,18,46.1
441,2009,9,15,23,9,87,8,30,56,26,4,21.5
442,2009,9,16,24,6,89,7,30,49,27,13,42.1
443,2009,9,17,24,5,86,9,30,52,26,4,13.1
444,2009,9,18,23,3,92,9,30,69,25,6,16.4
445,2009,9,19,22,5,94,7,30,68,24,9,44.8
446,2009,9,20,22,6,94,8,30,77,25,6,49.7
447,2009,9,21,22,6,94,8,30,62,23,15,26.2
448,2009,9,22,23,4,91,6,30,71,25,1,19.2
449,2009,9,23,23,9,89,9,30,60,25,6,14.2
450,2009,9,24,23,11,91,7,30,64,24,6,19.6
451,2009,9,25,23,8,88,7,30,46,24,3,8
452,2009,9,26,23,11,84,8,30,27,24,3,4
453,2009,9,27,22,9,90,8,30,46,24,6,6.8
454,2009,9,28,22,14,87,7,30,73,24,6,3.1
455,2009,9,29,21,16,92,6,30,86,22,10,5.9
456,2009,9,30,21,19,86,10,30,74,22,1,1.1
457,2009,10,1,20,16,94,5,30,98,21,10,13.6
458,2009,10,2,21,17,94,8,30,93,22,4,22.7
459,2009,10,3,21,18,92,9,30,81,22,8,6.4
460,2009,10,4,22,19,84,10,30,68,23,7,0.2
461,2009,10,5,22,18,82,10,30,57,23,1,0.1
462,2009,10,6,22,15,82,9,30,42,23,1,0
463,2009,10,7,22,12,86,8,30,60,23,1,3
464,2009,10,8,22,10,86,7,30,58,23,1,6.4
465,2009,10,9,22,5,86,7,30,49,24,3,4.3
466,2009,10,10,23,4,89,9,30,49,25,6,21.2
467,2009,10,11,23,3,92,8,30,63,25,6,33.2
468,2009,10,12,22,6,92,8,30,58,23,6,24.4
469,2009,10,13,22,5,90,9,30,51,23,6,10.7
470,2009,10,14,22,5,89,9,30,65,23,6,16.6
471,2009,10,15,23,9,77,8,30,19,23,12,0
472,2009,10,16,23,8,73,10,30,21,24,12,0.2
473,2009,10,17,23,7,69,10,30,25,24,12,0
474,2009,10,18,24,6,65,10,30,40,25,1,0.7
475,2009,10,19,24,6,69,10,30,32,25,12,0
476,2009,10,20,24,7,69,10,30,27,24,12,0
477,2009,10,21,23,10,62,10,30,28,24,12,0
478,2009,10,22,23,7,62,9,30,41,24,1,0.2
479,2009,10,23,22,9,57,10,30,29,23,12,0
480,2009,10,24,23,5,62,10,30,39,25,12,1.5
481,2009,10,25,22,6,86,9,30,55,23,3,10.8
482,2009,10,26,23,7,71,9,30,18,25,12,0
483,2009,10,27,22,8,86,8,30,47,23,6,2.8
484,2009,10,28,22,10,91,9,30,56,23,6,15.5
485,2009,10,29,22,12,88,8,30,64,24,6,7.4
486,2009,10,30,22,11,89,6,30,67,23,4,13.2
487,2009,10,31,22,10,86,7,30,48,23,3,5.8
488,2009,11,1,22,11,79,8,30,35,23,12,2.7
489,2009,11,2,22,13,81,8,30,27,23,12,5.3
